name,description
Devon & Blakely,"Made-to-order sandwiches, salads, and soups"
Nando's,"Flame-grilled peri-peri chicken"
QDOBA,"Build-your-own Mexican burritos, bowls, and nachos"
Bindaas Bowls & Rolls,"Indian street-food bowls and wraps"
Bar Taco,"Casual tacos and Mexican small plates"
Roti,"Mediterranean bowls, pitas, and plates"
Methi Indian,"North Indian curries and tandoori dishes"
Italian Kitchen,"Pastas, pizzas, and Italian classics"
Potbelly,"Toasted sandwiches and shakes"
Rocklands Barbeque,"Smoked barbecue ribs, pulled pork, and sides"
Mid Atlantic Seafood,"Fresh seafood plates and sandwiches"
District Rico,"Puerto Rican-inspired sandwiches and rice bowls"
Shake Shack,"Burgers, fries, and milkshakes"
Little Beet,"Gluten-free grain bowls and salads"
PF Chang's,"Asian-inspired stir-fry and noodle dishes"
Cosi,"Flatbread sandwiches, salads, and soups"
Bonchon,"Korean fried chicken and rice bowls"
DC Pizza,"New York-style pizza by the slice or pie"
Ben's Chili Bowl,"DC institution known for chili half-smokes"
District Taco,"Fresh tacos and burritos, DC-style"
Baja Grille,"Baja-style Mexican grill bowls and burritos"
Herbivore Indian Cuisine,"Vegetarian Indian curries and thalis"
Puddin's Southern Comfort Food,"Southern comfort classics like mac and cheese and fried chicken"
Sweetgreen,"Customizable salads and grain bowls"
Sha's Halal Food,"Halal chicken and gyro platters over rice"
Grill Kabob,"Middle Eastern kabobs and grilled platters"
Tacombi,"Mexico City-style street tacos"
NY Grille Pizza,"New York-style pizza and grilled sandwiches"
Burger District,"Classic burgers and hand-cut fries"
Moonbowls,"Asian noodle soups and rice bowls"
Maizal,"Venezuelan arepas and Latin street food"
Life Alive Organic,"Organic vegetarian bowls and smoothies"
Brown Bag Catering,"Boxed lunch sandwiches and sides for groups"
PLNT Burger,"Plant-based burgers and shakes"
Chopt,"Chopped salads and warm grain bowls"
All Star Catering,"Deli-style sandwich and salad catering"
Pollo Campero,"Latin American fried and grilled chicken"
Just Salad,"Build-your-own salads and grain bowls"
CNF Catering,"Boxed lunches and platters for office catering"
Sweet Leaf,"Fresh salads, wraps, and juices"
Chipotle,"Customizable burritos, bowls, and tacos"
